Product,Category,N_products,Total,Percentage,Fixed,Repairable,End of Life,Fixed Cnt,Repairable Cnt,End of Life Cnt
Smartphone - Model 75,Smartphone,215,119,0.0%,60.0%,21.1%,18.9%,71,25,23
Smartphone - Model 76,Smartphone,215,104,0.0%,40.9%,15.7%,43.3%,43,16,45
Smartphone - Model 77,Smartphone,215,11,0.0%,51.2%,8.2%,40.6%,6,1,4
Smartphone - Model 78,Smartphone,215,40,0.0%,44.0%,20.1%,35.9%,18,8,14
Smartphone - Model 79,Smartphone,215,7,0.0%,60.9%,11.3%,27.7%,4,1,2
Smartphone - Model 80,Smartphone,215,69,0.0%,58.8%,17.3%,23.9%,41,12,16
Smartphone - Model 81,Smartphone,215,179,0.1%,47.8%,21.3%,30.9%,86,38,55
Smartphone - Model 82,Smartphone,215,9,0.0%,71.2%,24.8%,4.0%,6,2,1
Smartphone - Model 83,Smartphone,215,79,0.0%,64.1%,17.8%,18.1%,51,14,14
Smartphone - Model 84,Smartphone,215,60,0.0%,42.4%,12.2%,45.4%,25,7,28
Smartphone - Model 85,Smartphone,215,52,0.0%,43.7%,29.1%,27.2%,23,15,14
Smartphone - Model 86,Smartphone,215,30,0.0%,45.4%,8.8%,45.8%,14,3,13
Smartphone - Model 87,Smartphone,215,26,0.0%,73.5%,26.5%,0.0%,19,7,0
Smartphone - Model 88,Smartphone,215,3,0.0%,70.6%,5.1%,24.2%,2,0,1
Smartphone - Model 89,Smartphone,215,15,0.0%,40.1%,14.5%,45.5%,6,2,7
Smartphone - Model 90,Smartphone,215,1,0.0%,45.7%,5.5%,48.8%,0,0,1
Smartphone - Model 91,Smartphone,215,52,0.0%,58.6%,28.6%,12.9%,30,15,7
Smartphone - Model 92,Smartphone,215,7,0.0%,53.0%,21.5%,25.5%,4,2,1
Smartphone - Model 93,Smartphone,215,124,0.0%,66.1%,11.3%,22.6%,82,14,28
Smartphone - Model 94,Smartphone,215,44,0.0%,66.0%,10.3%,23.7%,29,5,10
Smartphone - Model 95,Smartphone,215,72,0.0%,44.9%,22.5%,32.6%,32,16,24
Smartphone - Model 96,Smartphone,215,32,0.0%,44.5%,29.9%,25.5%,14,10,8
Smartphone - Model 97,Smartphone,215,49,0.0%,47.3%,19.9%,32.8%,23,10,16
Smartphone - Model 98,Smartphone,215,171,0.1%,56.5%,8.2%,35.4%,97,14,60
Smartphone - Model 99,Smartphone,215,5,0.0%,41.1%,20.6%,38.3%,2,1,2
Smartphone - Model 100,Smartphone,215,18,0.0%,72.3%,26.1%,1.7%,13,5,0
Smartphone - Model 101,Smartphone,215,91,0.0%,59.3%,24.4%,16.3%,54,22,15
Smartphone - Model 102,Smartphone,215,6,0.0%,66.9%,23.1%,10.0%,4,1,1
Smartphone - Model 103,Smartphone,215,5,0.0%,59.7%,20.8%,19.5%,3,1,1
Smartphone - Model 104,Smartphone,215,27,0.0%,72.2%,14.9%,12.8%,19,4,4
Smartphone - Model 105,Smartphone,215,6,0.0%,72.2%,19.8%,8.0%,4,1,1
Smartphone - Model 106,Smartphone,215,53,0.0%,46.6%,5.6%,47.7%,25,3,25
Smartphone - Model 107,Smartphone,215,15,0.0%,54.5%,18.7%,26.8%,8,3,4
Smartphone - Model 108,Smartphone,215,135,0.0%,73.6%,8.2%,18.2%,99,11,25
Smartphone - Model 109,Smartphone,215,92,0.0%,72.0%,26.6%,1.4%,66,24,2
Smartphone - Model 110,Smartphone,215,72,0.0%,46.0%,26.3%,27.7%,33,19,20
Smartphone - Model 111,Smartphone,215,57,0.0%,78.2%,21.8%,0.0%,45,12,0
Smartphone - Model 112,Smartphone,215,119,0.0%,70.8%,29.2%,0.0%,84,35,0
Smartphone - Model 113,Smartphone,215,15,0.0%,64.2%,12.7%,23.1%,10,2,3
Smartphone - Model 114,Smartphone,215,124,0.0%,73.5%,20.4%,6.1%,91,25,8
Smartphone - Model 115,Smartphone,215,93,0.0%,63.2%,11.3%,25.4%,59,11,23
Smartphone - Model 116,Smartphone,215,83,0.0%,70.3%,7.0%,22.7%,58,6,19
Smartphone - Model 117,Smartphone,215,49,0.0%,77.0%,13.1%,9.9%,38,6,5
Smartphone - Model 118,Smartphone,215,17,0.0%,45.1%,16.1%,38.8%,8,3,6
Smartphone - Model 119,Smartphone,215,33,0.0%,41.7%,22.1%,36.2%,14,7,12
Smartphone - Model 120,Smartphone,215,94,0.0%,75.1%,24.9%,0.0%,71,23,0
Smartphone - Model 121,Smartphone,215,2,0.0%,45.1%,8.2%,46.7%,1,0,1
Smartphone - Model 122,Smartphone,215,91,0.0%,72.2%,27.8%,0.0%,66,25,0
Smartphone - Model 123,Smartphone,215,16,0.0%,58.4%,17.5%,24.1%,9,3,4
Smartphone - Model 124,Smartphone,215,9,0.0%,52.7%,27.4%,19.9%,5,2,2
Smartphone - Model 125,Smartphone,215,7,0.0%,65.8%,12.2%,22.0%,5,1,1
Smartphone - Model 126,Smartphone,215,2,0.0%,52.0%,27.3%,20.8%,1,1,0
Smartphone - Model 127,Smartphone,215,44,0.0%,40.5%,13.1%,46.4%,18,6,20
Smartphone - Model 128,Smartphone,215,15,0.0%,62.2%,8.7%,29.1%,9,1,5
Smartphone - Model 129,Smartphone,215,272,0.1%,43.7%,25.4%,30.9%,119,69,84
Smartphone - Model 130,Smartphone,215,51,0.0%,75.1%,24.9%,0.0%,38,13,0
Smartphone - Model 131,Smartphone,215,9,0.0%,76.0%,18.8%,5.2%,7,2,0
Smartphone - Model 132,Smartphone,215,70,0.0%,72.5%,14.6%,12.9%,51,10,9
Smartphone - Model 133,Smartphone,215,137,0.0%,66.7%,29.7%,3.6%,91,41,5
Smartphone - Model 134,Smartphone,215,82,0.0%,49.0%,14.7%,36.2%,40,12,30
Smartphone - Model 135,Smartphone,215,5,0.0%,59.2%,8.5%,32.3%,3,0,2
Smartphone - Model 136,Smartphone,215,135,0.0%,43.2%,25.7%,31.0%,58,35,42
Smartphone - Model 137,Smartphone,215,95,0.0%,79.1%,15.1%,5.8%,75,14,6
Smartphone - Model 138,Smartphone,215,10,0.0%,43.5%,6.6%,49.8%,4,1,5
Smartphone - Model 139,Smartphone,215,3,0.0%,75.7%,16.6%,7.8%,2,0,1
Smartphone - Model 140,Smartphone,215,49,0.0%,52.8%,16.9%,30.3%,26,8,15
Smartphone - Model 141,Smartphone,215,10,0.0%,52.7%,17.2%,30.0%,5,2,3
Smartphone - Model 142,Smartphone,215,108,0.0%,74.4%,19.8%,5.8%,80,21,7
Smartphone - Model 143,Smartphone,215,27,0.0%,67.8%,14.1%,18.1%,18,4,5
Smartphone - Model 144,Smartphone,215,146,0.1%,69.5%,21.7%,8.8%,102,32,12
Smartphone - Model 145,Smartphone,215,50,0.0%,44.8%,19.3%,35.9%,22,10,18
Smartphone - Model 146,Smartphone,215,12,0.0%,50.3%,25.1%,24.6%,6,3,3
Smartphone - Model 147,Smartphone,215,9,0.0%,57.0%,29.9%,13.1%,5,3,1
Smartphone - Model 148,Smartphone,215,51,0.0%,43.7%,24.5%,31.8%,22,12,17
Smartphone - Model 149,Smartphone,215,86,0.0%,66.9%,24.2%,8.9%,58,21,7
Smartphone - Model 150,Smartphone,215,91,0.0%,52.3%,17.3%,30.4%,48,16,27
Smartphone - Model 151,Smartphone,215,19,0.0%,71.9%,10.8%,17.3%,14,2,3
Smartphone - Model 152,Smartphone,215,14,0.0%,49.0%,18.8%,32.2%,7,3,4
Smartphone - Model 153,Smartphone,215,1,0.0%,60.9%,12.1%,27.0%,1,0,0
Smartphone - Model 154,Smartphone,215,68,0.0%,51.9%,11.9%,36.1%,35,8,25
Smartphone - Model 155,Smartphone,215,5,0.0%,70.9%,21.3%,7.8%,4,1,0
Smartphone - Model 156,Smartphone,215,33,0.0%,72.0%,28.0%,0.0%,24,9,0
Smartphone - Model 157,Smartphone,215,55,0.0%,59.0%,6.7%,34.4%,32,4,19
Smartphone - Model 158,Smartphone,215,166,0.1%,41.9%,12.4%,45.7%,70,21,75
Smartphone - Model 159,Smartphone,215,22,0.0%,77.3%,18.1%,4.6%,17,4,1
Smartphone - Model 160,Smartphone,215,17,0.0%,50.9%,15.0%,34.1%,9,3,5
Smartphone - Model 161,Smartphone,215,64,0.0%,63.9%,21.3%,14.7%,41,14,9
Smartphone - Model 162,Smartphone,215,58,0.0%,46.2%,29.4%,24.4%,27,17,14
Smartphone - Model 163,Smartphone,215,24,0.0%,61.8%,8.4%,29.8%,15,2,7
Smartphone - Model 164,Smartphone,215,158,0.1%,75.7%,6.9%,17.4%,120,11,27
Smartphone - Model 165,Smartphone,215,112,0.0%,73.2%,26.8%,0.0%,82,30,0
Smartphone - Model 166,Smartphone,215,15,0.0%,68.0%,24.3%,7.7%,10,4,1
Smartphone - Model 167,Smartphone,215,16,0.0%,53.5%,28.5%,18.0%,9,5,2
Smartphone - Model 168,Smartphone,215,43,0.0%,61.2%,23.3%,15.5%,26,10,7
Smartphone - Model 169,Smartphone,215,89,0.0%,73.8%,26.2%,0.0%,66,23,0
Smartphone - Model 170,Smartphone,215,3,0.0%,73.3%,12.6%,14.1%,2,0,1
Smartphone - Model 171,Smartphone,215,71,0.0%,78.7%,20.7%,0.6%,56,15,0
Smartphone - Model 172,Smartphone,215,63,0.0%,77.2%,21.9%,0.9%,49,14,0
Smartphone - Model 173,Smartphone,215,16,0.0%,52.3%,14.3%,33.5%,8,2,6
Smartphone - Model 174,Smartphone,215,68,0.0%,62.0%,24.8%,13.2%,42,17,9
Smartphone - Model 175,Smartphone,215,169,0.1%,52.7%,19.5%,27.8%,89,33,47
Smartphone - Model 176,Smartphone,215,3,0.0%,53.8%,25.4%,20.8%,2,1,0
Smartphone - Model 177,Smartphone,215,23,0.0%,58.7%,6.9%,34.4%,13,2,8
Smartphone - Model 178,Smartphone,215,35,0.0%,46.6%,6.5%,46.8%,16,2,17
Smartphone - Model 179,Smartphone,215,137,0.0%,60.0%,7.7%,32.4%,82,10,45
Smartphone - Model 180,Smartphone,215,196,0.1%,44.6%,28.5%,26.9%,87,56,53
Smartphone - Model 181,Smartphone,215,35,0.0%,74.9%,16.3%,8.8%,26,6,3
Smartphone - Model 182,Smartphone,215,83,0.0%,79.4%,5.0%,15.6%,66,4,13
Smartphone - Model 183,Smartphone,215,45,0.0%,64.6%,20.4%,15.0%,29,9,7
Smartphone - Model 184,Smartphone,215,46,0.0%,58.3%,14.9%,26.8%,27,7,12
Smartphone - Model 185,Smartphone,215,20,0.0%,58.2%,15.4%,26.4%,12,3,5
Smartphone - Model 186,Smartphone,215,15,0.0%,69.2%,8.4%,22.4%,10,1,4
Smartphone - Model 187,Smartphone,215,20,0.0%,47.9%,9.5%,42.6%,10,2,8
Smartphone - Model 188,Smartphone,215,49,0.0%,50.5%,18.1%,31.4%,25,9,15
Smartphone - Model 189,Smartphone,215,2,0.0%,44.4%,26.7%,28.8%,1,1,0
Smartphone - Model 190,Smartphone,215,142,0.1%,51.9%,9.1%,39.0%,74,13,55
Smartphone - Model 191,Smartphone,215,10,0.0%,67.0%,6.0%,27.0%,7,1,2
Smartphone - Model 192,Smartphone,215,15,0.0%,64.8%,22.5%,12.7%,10,3,2
Smartphone - Model 193,Smartphone,215,44,0.0%,48.6%,6.0%,45.4%,21,3,20
Smartphone - Model 194,Smartphone,215,74,0.0%,54.5%,7.5%,38.0%,40,6,28
Smartphone - Model 195,Smartphone,215,6,0.0%,44.7%,11.4%,44.0%,3,1,2
Smartphone - Model 196,Smartphone,215,23,0.0%,51.8%,18.2%,29.9%,12,4,7
Smartphone - Model 197,Smartphone,215,207,0.1%,67.1%,19.8%,13.0%,139,41,27
Smartphone - Model 198,Smartphone,215,18,0.0%,45.9%,9.3%,44.8%,8,2,8
Smartphone - Model 199,Smartphone,215,22,0.0%,75.2%,19.0%,5.9%,17,4,1
Smartphone - Model 200,Smartphone,215,108,0.0%,74.8%,14.3%,10.9%,81,15,12
Smartphone - Model 201,Smartphone,215,3,0.0%,64.6%,18.1%,17.3%,2,1,0
Smartphone - Model 202,Smartphone,215,37,0.0%,52.8%,16.7%,30.5%,20,6,11
Smartphone - Model 203,Smartphone,215,29,0.0%,60.1%,10.0%,29.9%,17,3,9
Smartphone - Model 204,Smartphone,215,23,0.0%,52.6%,24.8%,22.6%,12,6,5
Smartphone - Model 205,Smartphone,215,20,0.0%,76.6%,14.0%,9.4%,15,3,2
Smartphone - Model 206,Smartphone,215,6,0.0%,52.3%,9.9%,37.8%,3,1,2
Smartphone - Model 207,Smartphone,215,23,0.0%,67.1%,13.1%,19.8%,15,3,5
Smartphone - Model 208,Smartphone,215,3,0.0%,79.5%,13.1%,7.3%,2,0,1
Smartphone - Model 209,Smartphone,215,91,0.0%,55.8%,20.1%,24.2%,51,18,22
Smartphone - Model 210,Smartphone,215,30,0.0%,72.1%,16.7%,11.2%,22,5,3
Smartphone - Model 211,Smartphone,215,35,0.0%,56.9%,29.9%,13.2%,20,10,5
Smartphone - Model 212,Smartphone,215,134,0.0%,40.4%,27.4%,32.2%,54,37,43
Smartphone - Model 213,Smartphone,215,64,0.0%,46.0%,24.6%,29.4%,29,16,19
Smartphone - Model 214,Smartphone,215,0,0.0%,64.7%,13.5%,21.7%,0,0,0
Smartphone - Model 215,Smartphone,215,172,0.1%,75.0%,5.3%,19.7%,129,9,34
Camera - Model 1,Camera,75,49,0.0%,69.2%,6.2%,24.7%,34,3,12
Camera - Model 2,Camera,75,25,0.0%,77.1%,7.3%,15.6%,19,2,4
Camera - Model 3,Camera,75,55,0.0%,51.4%,21.8%,26.8%,28,12,15
Camera - Model 4,Camera,75,1,0.0%,46.8%,6.4%,46.8%,0,0,1
Camera - Model 5,Camera,75,7,0.0%,53.2%,24.1%,22.6%,4,2,1
Camera - Model 6,Camera,75,8,0.0%,56.5%,21.3%,22.1%,5,2,1
Camera - Model 7,Camera,75,12,0.0%,63.2%,5.6%,31.3%,8,1,3
Camera - Model 8,Camera,75,36,0.0%,79.5%,6.0%,14.4%,29,2,5
Camera - Model 9,Camera,75,82,0.0%,78.7%,18.7%,2.5%,65,15,2
Camera - Model 10,Camera,75,138,0.0%,78.5%,7.9%,13.6%,108,11,19
Camera - Model 11,Camera,75,105,0.0%,59.6%,9.2%,31.1%,63,10,32
Camera - Model 12,Camera,75,13,0.0%,42.0%,20.4%,37.5%,5,3,5
Camera - Model 13,Camera,75,34,0.0%,48.3%,19.7%,32.0%,16,7,11
Camera - Model 14,Camera,75,13,0.0%,44.5%,13.3%,42.2%,6,2,5
Camera - Model 15,Camera,75,18,0.0%,71.3%,15.9%,12.8%,13,3,2
Camera - Model 16,Camera,75,41,0.0%,65.1%,21.2%,13.7%,27,9,5
Camera - Model 17,Camera,75,4,0.0%,73.8%,13.1%,13.1%,3,1,0
Camera - Model 18,Camera,75,14,0.0%,67.5%,29.0%,3.5%,9,4,1
Camera - Model 19,Camera,75,160,0.1%,69.2%,17.2%,13.5%,111,28,21
Camera - Model 20,Camera,75,37,0.0%,65.2%,23.5%,11.3%,24,9,4
Camera - Model 21,Camera,75,34,0.0%,64.5%,5.4%,30.1%,22,2,10
Camera - Model 22,Camera,75,1,0.0%,47.8%,25.3%,26.9%,0,0,1
Camera - Model 23,Camera,75,17,0.0%,50.9%,23.3%,25.8%,9,4,4
Camera - Model 24,Camera,75,118,0.0%,54.9%,18.0%,27.1%,65,21,32
Camera - Model 25,Camera,75,11,0.0%,42.7%,9.5%,47.8%,5,1,5
Camera - Model 26,Camera,75,31,0.0%,75.5%,24.5%,0.0%,23,8,0
Camera - Model 27,Camera,75,1,0.0%,66.1%,16.5%,17.4%,1,0,0
Camera - Model 28,Camera,75,38,0.0%,67.0%,20.5%,12.5%,25,8,5
Camera - Model 29,Camera,75,1,0.0%,62.7%,6.5%,30.8%,1,0,0
Camera - Model 30,Camera,75,100,0.0%,65.3%,24.2%,10.5%,65,24,11
Camera - Model 31,Camera,75,102,0.0%,79.8%,5.3%,15.0%,81,5,16
Camera - Model 32,Camera,75,91,0.0%,69.2%,19.3%,11.5%,63,18,10
Camera - Model 33,Camera,75,19,0.0%,57.4%,8.2%,34.4%,11,2,6
Camera - Model 34,Camera,75,106,0.0%,56.4%,13.9%,29.8%,60,15,31
Camera - Model 35,Camera,75,46,0.0%,52.1%,23.3%,24.6%,24,11,11
Camera - Model 36,Camera,75,27,0.0%,68.0%,19.7%,12.2%,18,5,4
Camera - Model 37,Camera,75,57,0.0%,77.5%,13.7%,8.7%,44,8,5
Camera - Model 38,Camera,75,1,0.0%,49.8%,21.4%,28.9%,0,0,1
Camera - Model 39,Camera,75,9,0.0%,48.0%,12.9%,39.2%,4,1,4
Camera - Model 40,Camera,75,79,0.0%,49.0%,6.7%,44.3%,39,5,35
Camera - Model 41,Camera,75,16,0.0%,73.1%,11.4%,15.5%,12,2,2
Camera - Model 42,Camera,75,53,0.0%,58.9%,6.1%,35.0%,31,3,19
Camera - Model 43,Camera,75,28,0.0%,68.0%,13.3%,18.8%,19,4,5
Camera - Model 44,Camera,75,113,0.0%,69.8%,15.3%,14.9%,79,17,17
Camera - Model 45,Camera,75,178,0.1%,47.8%,17.8%,34.3%,85,32,61
Camera - Model 46,Camera,75,126,0.0%,45.2%,16.0%,38.8%,57,20,49
Camera - Model 47,Camera,75,18,0.0%,52.7%,27.8%,19.5%,9,5,4
Camera - Model 48,Camera,75,13,0.0%,42.4%,22.4%,35.2%,6,3,4
Camera - Model 49,Camera,75,38,0.0%,47.3%,13.0%,39.7%,18,5,15
Camera - Model 50,Camera,75,0,0.0%,56.6%,27.7%,15.7%,0,0,0
Camera - Model 51,Camera,75,2,0.0%,49.7%,7.3%,43.0%,1,0,1
Camera - Model 52,Camera,75,47,0.0%,52.7%,7.6%,39.6%,25,4,18
Camera - Model 53,Camera,75,43,0.0%,45.1%,19.3%,35.5%,19,8,16
Camera - Model 54,Camera,75,305,0.1%,42.4%,5.8%,51.8%,129,18,158
Camera - Model 55,Camera,75,13,0.0%,68.6%,14.0%,17.4%,9,2,2
Camera - Model 56,Camera,75,17,0.0%,45.0%,11.3%,43.6%,8,2,7
Camera - Model 57,Camera,75,7,0.0%,65.7%,11.9%,22.4%,5,1,1
Camera - Model 58,Camera,75,146,0.1%,59.8%,8.0%,32.2%,87,12,47
Camera - Model 59,Camera,75,88,0.0%,63.5%,12.9%,23.6%,56,11,21
Camera - Model 60,Camera,75,101,0.0%,65.1%,25.2%,9.7%,66,25,10
Camera - Model 61,Camera,75,136,0.0%,64.5%,12.4%,23.1%,88,17,31
Camera - Model 62,Camera,75,43,0.0%,50.2%,13.2%,36.6%,22,6,15
Camera - Model 63,Camera,75,35,0.0%,46.6%,9.5%,43.9%,16,3,16
Camera - Model 64,Camera,75,23,0.0%,71.6%,14.6%,13.8%,16,3,4
Camera - Model 65,Camera,75,52,0.0%,57.4%,19.9%,22.7%,30,10,12
Camera - Model 66,Camera,75,35,0.0%,63.6%,6.7%,29.7%,22,2,11
Camera - Model 67,Camera,75,35,0.0%,73.3%,9.4%,17.3%,26,3,6
Camera - Model 68,Camera,75,162,0.1%,68.9%,24.3%,6.8%,112,39,11
Camera - Model 69,Camera,75,242,0.1%,68.6%,19.5%,11.9%,166,47,29
Camera - Model 70,Camera,75,93,0.0%,40.6%,14.0%,45.4%,38,13,42
Camera - Model 71,Camera,75,83,0.0%,64.2%,14.7%,21.1%,53,12,18
Camera - Model 72,Camera,75,67,0.0%,74.5%,12.7%,12.7%,50,9,8
Camera - Model 73,Camera,75,11,0.0%,51.7%,11.6%,36.6%,6,1,4
Camera - Model 74,Camera,75,4,0.0%,53.3%,18.9%,27.8%,2,1,1
Camera - Model 75,Camera,75,69,0.0%,68.3%,21.6%,10.2%,47,15,7
Printer - Model 1,Printer,203,47,0.0%,79.6%,17.1%,3.4%,37,8,2
Printer - Model 2,Printer,203,49,0.0%,77.8%,22.2%,0.0%,38,11,0
Printer - Model 3,Printer,203,115,0.0%,49.9%,18.5%,31.6%,57,21,37
Printer - Model 4,Printer,203,249,0.1%,76.6%,23.4%,0.0%,191,58,0
Printer - Model 5,Printer,203,55,0.0%,43.9%,22.7%,33.4%,24,12,19
Printer - Model 6,Printer,203,15,0.0%,53.8%,5.2%,41.0%,8,1,6
Printer - Model 7,Printer,203,91,0.0%,56.1%,10.9%,33.0%,51,10,30
Printer - Model 8,Printer,203,2,0.0%,72.8%,13.4%,13.8%,1,0,1
Printer - Model 9,Printer,203,11,0.0%,73.1%,5.0%,21.9%,8,1,2
Printer - Model 10,Printer,203,98,0.0%,52.3%,11.0%,36.7%,51,11,36
Printer - Model 11,Printer,203,13,0.0%,49.3%,6.7%,44.0%,6,1,6
Printer - Model 12,Printer,203,11,0.0%,47.5%,18.9%,33.6%,5,2,4
Printer - Model 13,Printer,203,6,0.0%,51.7%,15.4%,32.9%,3,1,2
Printer - Model 14,Printer,203,84,0.0%,55.1%,26.9%,18.0%,46,23,15
Printer - Model 15,Printer,203,30,0.0%,76.2%,17.3%,6.5%,23,5,2
Printer - Model 16,Printer,203,48,0.0%,53.2%,7.7%,39.1%,26,4,18
Printer - Model 17,Printer,203,12,0.0%,78.1%,6.5%,15.4%,9,1,2
Printer - Model 18,Printer,203,61,0.0%,51.9%,12.5%,35.6%,32,8,21
Printer - Model 19,Printer,203,61,0.0%,52.8%,9.1%,38.1%,32,6,23
Printer - Model 20,Printer,203,16,0.0%,71.3%,8.1%,20.6%,11,1,4
Printer - Model 21,Printer,203,23,0.0%,65.4%,8.1%,26.5%,15,2,6
Printer - Model 22,Printer,203,10,0.0%,42.8%,27.7%,29.4%,4,3,3
Printer - Model 23,Printer,203,161,0.1%,47.6%,25.5%,26.9%,77,41,43
Printer - Model 24,Printer,203,45,0.0%,61.8%,6.9%,31.3%,28,3,14
Printer - Model 25,Printer,203,117,0.0%,78.2%,11.2%,10.6%,92,13,12
Printer - Model 26,Printer,203,16,0.0%,74.4%,9.2%,16.4%,12,1,3
Printer - Model 27,Printer,203,65,0.0%,74.2%,5.3%,20.5%,48,3,14
Printer - Model 28,Printer,203,62,0.0%,60.5%,24.2%,15.3%,37,15,10
Printer - Model 29,Printer,203,51,0.0%,74.8%,25.2%,0.0%,38,13,0
Printer - Model 30,Printer,203,145,0.1%,72.8%,27.2%,0.0%,106,39,0
Printer - Model 31,Printer,203,21,0.0%,48.0%,12.1%,39.9%,10,3,8
Printer - Model 32,Printer,203,6,0.0%,51.6%,14.4%,34.0%,3,1,2
Printer - Model 33,Printer,203,48,0.0%,55.7%,18.6%,25.7%,27,9,12
Printer - Model 34,Printer,203,56,0.0%,46.4%,22.3%,31.3%,26,12,18
Printer - Model 35,Printer,203,37,0.0%,46.7%,12.8%,40.5%,17,5,15
Printer - Model 36,Printer,203,10,0.0%,60.1%,24.9%,15.0%,6,2,2
Printer - Model 37,Printer,203,30,0.0%,69.6%,21.1%,9.3%,21,6,3
Printer - Model 38,Printer,203,16,0.0%,46.2%,18.7%,35.1%,7,3,6
Printer - Model 39,Printer,203,24,0.0%,43.5%,14.4%,42.1%,10,3,11
Printer - Model 40,Printer,203,45,0.0%,56.5%,6.0%,37.5%,25,3,17
Printer - Model 41,Printer,203,59,0.0%,51.0%,28.9%,20.1%,30,17,12
Printer - Model 42,Printer,203,11,0.0%,78.1%,13.8%,8.0%,9,2,0
Printer - Model 43,Printer,203,22,0.0%,41.7%,9.5%,48.8%,9,2,11
Printer - Model 44,Printer,203,13,0.0%,55.7%,28.7%,15.6%,7,4,2
Printer - Model 45,Printer,203,10,0.0%,45.6%,24.1%,30.3%,5,2,3
Printer - Model 46,Printer,203,66,0.0%,44.3%,29.5%,26.1%,29,19,18
Printer - Model 47,Printer,203,103,0.0%,55.3%,24.4%,20.4%,57,25,21
Printer - Model 48,Printer,203,20,0.0%,53.7%,20.7%,25.6%,11,4,5
Printer - Model 49,Printer,203,60,0.0%,47.7%,8.7%,43.7%,29,5,26
Printer - Model 50,Printer,203,98,0.0%,74.8%,25.2%,0.0%,73,25,0
Printer - Model 51,Printer,203,80,0.0%,75.5%,20.6%,3.9%,60,17,3
Printer - Model 52,Printer,203,9,0.0%,72.3%,6.7%,20.9%,7,1,1
Printer - Model 53,Printer,203,134,0.0%,53.4%,12.8%,33.8%,72,17,45
Printer - Model 54,Printer,203,20,0.0%,65.4%,13.9%,20.7%,13,3,4
Printer - Model 55,Printer,203,18,0.0%,45.9%,19.9%,34.1%,8,4,6
Printer - Model 56,Printer,203,3,0.0%,72.6%,14.6%,12.9%,2,0,1
Printer - Model 57,Printer,203,29,0.0%,45.3%,9.9%,44.8%,13,3,13
Printer - Model 58,Printer,203,5,0.0%,49.5%,12.5%,38.0%,2,1,2
Printer - Model 59,Printer,203,12,0.0%,65.7%,20.0%,14.3%,8,2,2
Printer - Model 60,Printer,203,16,0.0%,67.8%,14.1%,18.1%,11,2,3
Printer - Model 61,Printer,203,71,0.0%,73.0%,10.1%,16.9%,52,7,12
Printer - Model 62,Printer,203,89,0.0%,58.8%,25.0%,16.2%,52,22,15
Printer - Model 63,Printer,203,15,0.0%,47.2%,7.7%,45.0%,7,1,7
Printer - Model 64,Printer,203,84,0.0%,75.3%,13.6%,11.1%,63,11,10
Printer - Model 65,Printer,203,84,0.0%,67.4%,5.6%,27.0%,57,5,22
Printer - Model 66,Printer,203,62,0.0%,67.6%,12.9%,19.5%,42,8,12
Printer - Model 67,Printer,203,7,0.0%,42.2%,20.2%,37.5%,3,1,3
Printer - Model 68,Printer,203,50,0.0%,49.6%,14.7%,35.7%,25,7,18
Printer - Model 69,Printer,203,125,0.0%,43.2%,8.7%,48.1%,54,11,60
Printer - Model 70,Printer,203,49,0.0%,51.9%,7.2%,40.8%,25,4,20
Printer - Model 71,Printer,203,17,0.0%,76.4%,5.2%,18.4%,13,1,3
Printer - Model 72,Printer,203,30,0.0%,59.4%,8.1%,32.6%,18,2,10
Printer - Model 73,Printer,203,45,0.0%,52.3%,28.2%,19.5%,24,13,8
Printer - Model 74,Printer,203,31,0.0%,46.5%,29.1%,24.4%,14,9,8
Printer - Model 75,Printer,203,5,0.0%,48.2%,23.5%,28.2%,2,1,2
Printer - Model 76,Printer,203,16,0.0%,61.9%,27.1%,11.0%,10,4,2
Printer - Model 77,Printer,203,70,0.0%,62.2%,18.4%,19.5%,44,13,13
Printer - Model 78,Printer,203,85,0.0%,47.8%,9.2%,43.0%,41,8,36
Printer - Model 79,Printer,203,6,0.0%,76.7%,13.2%,10.1%,5,1,0
Printer - Model 80,Printer,203,131,0.0%,54.9%,24.0%,21.1%,72,31,28
Printer - Model 81,Printer,203,17,0.0%,53.6%,28.8%,17.6%,9,5,3
Printer - Model 82,Printer,203,47,0.0%,69.5%,19.9%,10.5%,33,9,5
Printer - Model 83,Printer,203,60,0.0%,75.2%,6.2%,18.5%,45,4,11
Printer - Model 84,Printer,203,72,0.0%,50.3%,16.6%,33.1%,36,12,24
Printer - Model 85,Printer,203,125,0.0%,49.1%,23.6%,27.3%,61,29,35
Printer - Model 86,Printer,203,16,0.0%,76.8%,15.6%,7.6%,12,2,2
Printer - Model 87,Printer,203,84,0.0%,53.7%,29.0%,17.3%,45,24,15
Printer - Model 88,Printer,203,6,0.0%,57.8%,17.2%,25.0%,3,1,2
Printer - Model 89,Printer,203,52,0.0%,54.1%,27.7%,18.2%,28,14,10
Printer - Model 90,Printer,203,58,0.0%,62.8%,24.1%,13.2%,36,14,8
Printer - Model 91,Printer,203,49,0.0%,72.5%,13.5%,14.0%,36,7,6
Printer - Model 92,Printer,203,12,0.0%,57.3%,26.2%,16.4%,7,3,2
Printer - Model 93,Printer,203,89,0.0%,54.5%,24.8%,20.6%,49,22,18
Printer - Model 94,Printer,203,8,0.0%,77.6%,20.6%,1.8%,6,2,0
Printer - Model 95,Printer,203,2,0.0%,69.7%,25.1%,5.2%,1,1,0
